"character_id","visible_full_name","visible_surname_preserved","stored_part_1_route","legacy_part_2_route","evidence_status","repair_action"
"2829","Ranitomeya Chillpuff","Chillpuff","Eyes:Round","Back:White cloud","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"2880","Lucia Crescentpop","Crescentpop","Hair:Moon candy","Mouth:Silly","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"2907","Morerella Swampdunk","Swampdunk","Back:Swamp swirl","Background:Romantic Purple","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"2929","Rheohyla Oceanbrush","Oceanbrush","Front:White flat brush","Background:Uncontrollable Ocean Blue","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"2970","Bernadette Lollitide","Lollitide","Front:Lollipop","Mouth:Downturned","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"2984","Odilia Emeraldcream","Emeraldcream","Front:Soft serve ice cream","Hair:Emerald innocent braids","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"2995","Acris Dollfury","Dollfury","Mouth:Proud","Eyes:Blue doll","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"3120","Ansonia Grownbrush","Grownbrush","Eyes:Hanging sanpaku","","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"3192","Apollonia Cloudybrush","Cloudybrush","Hair:Emerald innocent braids","Front:White flat brush","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"3197","Anstisia Restfury","Restfury","Mouth:Mad","Eyes:Closed","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"3244","Corona Sunpuff","Sunpuff","Front:Cigarette","Back:Sun","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"3270","Sylviae Fearcloud","Fearcloud","Mouth:Beaming","Back:White cloud","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"3326","Zorro Roughbun","Roughbun","Eyes:Flat up","Back:Overgrown wasteland","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
